  |  *id*  |  *Experimentid*  |  *description*  |  *Notes*  |  *T_Completeness*  |  *S_Completeness*  |  *Completeness*  |  *T_Correctness*  |  *S_Correctness*  |  *Correctness*  |  *Variation*  |  *Transport*  |  *Supply*  |  *ProjectSupply*  |  *type*  |  *status*  |  *gls*  |  *logging*  |  *finished*  |  *Experiment Started*  |  *Oplan*  |  *GLS*  |  *Final Planning Complete*  |  *Log Started*  |
  |  11  |  JTG-Logistics-FA-UC1-A-1-2of6 <span class="Folder">JTG-Logistics-FA-UC1-A-1-2of6_02-11-28_23</span>   |  Level 6 Only Play - 20 percent CPU stress  |  <span id="Successful"> <bold>Successful Logistics A-1 run 2</bold> <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  99.99026  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.3188913770162  |  2388  |  &nbsp;  |  8679  |  stress  |  100  |  132  |  132  |  132  |  2002-11-28_23:07:01  |  22:42  |  27:13  |  &nbsp;  |  2002-11-29_04:56:56  |  
  |  12  |  JTG-Logistics-FA-UC1-A-1-3of6 <span class="Folder">JTG-Logistics-FA-UC1-A-1-3of6_02-11-29_00</span>   |  Level 6 Only Play - 40 percent CPU stress  |  <span id="Successful"> <bold>Successful Logistics A-1 run 3</bold>  <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  100.00000  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.036214953271  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-11-29_00:25:42  |  22:18  |  27:11  |  &nbsp;  |  2002-11-29_06:15:30  |  
  |  13  |  JTG-Logistics-FA-UC1-A-1-4of6 <span class="Folder">JTG-Logistics-FA-UC1-A-1-4of6_02-11-29_01</span>   |  Level 6 Only Play - 50 percent CPU stress  |  <span id="Successful"> <bold>Successful Logistics A-1 run 4</bold>  <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  94.84683  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.1309703024497  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-11-29_01:43:16  |  23:54  |  28:54  |  &nbsp;  |  2002-11-29_07:34:55  |  
  |  14  |  JTG-Logistics-FA-UC1-A-1-5of6 <span class="Folder">JTG-Logistics-FA-UC1-A-1-5of6_02-11-29_03</span>   |  Level 6 Only Play - 60 percent CPU stress  |  <span id="Successful"> <bold>Successful Logistics A-1 run 5</bold>  <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  39.83645  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.1120886282177  |  2444  |  &nbsp;  |  8679  |  stress  |  100  |  132  |  132  |  132  |  2002-11-29_03:03:37  |  24:31  |  29:16  |  &nbsp;  |  2002-11-29_08:58:39  |  
  |  15  |  JTG-Logistics-FA-UC1-A-1-6of6 <span class="Folder">JTG-Logistics-FA-UC1-A-1-6of6_02-11-29_04</span>   |  Level 6 Only Play - 70 percent CPU stress  |  <span id="Successful"> <bold>Successful Logistics A-1 run 6</bold>  <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  35.36150  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.4769202532807  |  2388  |  &nbsp;  |  8679  |  stress  |  100  |  132  |  132  |  132  |  2002-11-29_04:28:10  |  25:32  |  30:27  |  &nbsp;  |  2002-11-29_10:22:06  |  
  |  16  |  JTG-Logistics-FA-UC1-A-2-1of6 <span class="Folder">JTG-Logistics-FA-UC1-A-2-1of6_02-11-29_12</span>   |  Level 6 Only Play - 0 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics A-2 run 1</bold> <em>Run to completion</em> </span>  |  &nbsp;  |  &nbsp;  |  100.00000  |  &nbsp;  |  &nbsp;  |  99.99351  |  99.1822429906542  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-11-29_12:05:28  |  24:49  |  29:53  |  47:27  |  2002-11-29_17:53:35  |  
  |  17  |  JTG-Logistics-FA-UC1-A-2-2of6 <span class="Folder">JTG-Logistics-FA-UC1-A-2-2of6_02-11-29_13</span>   |  Level 6 Only Play - 20 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics A-2 run 2</bold> <em>Run to completion</em> </span>  |  &nbsp;  |  &nbsp;  |  100.00000  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.3996625129803  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-11-29_13:23:01  |  25:5  |  29:31  |  52:56  |  2002-11-29_19:17:00  |  
  |  18  |  JTG-Logistics-FA-UC1-A-2-3of6 <span class="Folder">JTG-Logistics-FA-UC1-A-2-3of6_02-11-29_14</span>   |  Level 6 Only Play - 40 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics A-2 run 3</bold> <em>Run to completion</em> </span>  |  &nbsp;  |  &nbsp;  |  100.00000  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.3639667705088  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-11-29_14:48:29  |  25:26  |  27:15  |  78:13  |  2002-11-29_21:07:29  |  
  |  19  |  JTG-Logistics-FA-UC1-A-2-4of6 <span class="Folder">JTG-Logistics-FA-UC1-A-2-4of6_02-11-29_16</span>   |  Level 6 Only Play - 50 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics A-2 run 4</bold> <em>Run to completion</em> </span>  |  &nbsp;  |  &nbsp;  |  99.99026  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.6434297212216  |  2388  |  &nbsp;  |  8679  |  stress  |  100  |  132  |  132  |  132  |  2002-11-29_16:38:10  |  24:31  |  30:11  |  81:51  |  2002-11-29_23:00:49  |  
  |  20  |  JTG-Logistics-FA-UC1-A-2-5of6 <span class="Folder">JTG-Logistics-FA-UC1-A-2-5of6_02-11-29_18</span>   |  Level 6 Only Play - 60 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics A-2 run 5</bold> <em>Run to completion</em> </span>  |  &nbsp;  |  &nbsp;  |  99.99026  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.5067017168078  |  2388  |  &nbsp;  |  8679  |  stress  |  100  |  132  |  132  |  132  |  2002-11-29_18:32:09  |  26:26  |  31:9  |  88:35  |  2002-11-30_01:01:28  |  
  |  21  |  JTG-Logistics-FA-UC1-A-2-6of6 <span class="Folder">JTG-Logistics-FA-UC1-A-2-6of6_02-11-29_20</span>   |  Level 6 Only Play - 70 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics A-2 run 6</bold> <em>Run to completion</em> </span>  |  &nbsp;  |  &nbsp;  |  100.00000  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.2671339563863  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-11-29_20:34:42  |  24:36  |  29:32  |  92:7  |  2002-11-30_03:07:48  |  
  |  22  |  JTG-Logistics-FA-UC1-B-1-1of6 <span class="Folder">JTG-Logistics-FA-UC1-B-1-1of6_02-11-30_12</span>   |  Level 2 and 6 Play - 0 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics B-1 run 1</bold> <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  99.74688  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.7442253887696  |  2388  |  &nbsp;  |  8654  |  stress  |  100  |  132  |  132  |  132  |  2002-11-30_12:50:48  |  24:48  |  30:43  |  48:35  |  2002-11-30_18:40:18  |  
  |  23  |  JTG-Logistics-FA-UC1-B-1-2of6 <span class="Folder">JTG-Logistics-FA-UC1-B-1-2of6_02-11-30_14</span>   |  Level 2 and 6 Play - 20 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics B-1 run 2</bold> <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  100.00000  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.1011163032191  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-11-30_14:14:03  |  24:3  |  29:34  |  &nbsp;  |  2002-11-30_20:08:46  |  
  |  24  |  JTG-Logistics-FA-UC1-B-1-3of6 <span class="Folder">JTG-Logistics-FA-UC1-B-1-3of6_02-11-30_15</span>   |  Level 2 and 6 Play - 40 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics B-1 run 3</bold> <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  100.00000  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.4872793354102  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-11-30_15:42:27  |  24:15  |  29:17  |  &nbsp;  |  2002-11-30_21:37:51  |  
  |  25  |  JTG-Logistics-FA-UC1-B-1-4of6 <span class="Folder">JTG-Logistics-FA-UC1-B-1-4of6_02-11-30_17</span>   |  Level 2 and 6 Play - 50 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics B-1 run 4</bold> <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  77.77778  |  &nbsp;  |  &nbsp;  |  99.77053  |  98.6315086782377  |  2388  |  &nbsp;  |  8320  |  stress  |  100  |  132  |  132  |  132  |  2002-11-30_17:12:17  |  23:54  |  30:31  |  &nbsp;  |  2002-11-30_23:05:43  |  
  |  26  |  JTG-Logistics-FA-UC1-B-1-5of6 <span class="Folder">JTG-Logistics-FA-UC1-B-1-5of6_02-11-30_18</span>   |  Level 2 and 6 Play - 60 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics B-1 run 1</bold> <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  54.10501  |  &nbsp;  |  &nbsp;  |  99.86805  |  99.3882324716608  |  2235  |  &nbsp;  |  7489  |  stress  |  100  |  132  |  132  |  132  |  2002-11-30_18:41:17  |  24:46  |  30:2  |  &nbsp;  |  2002-12-01_00:34:51  |  
  |  27  |  JTG-Logistics-FA-UC1-B-1-6of6 <span class="Folder">JTG-Logistics-FA-UC1-B-1-6of6_02-11-30_20</span>   |  Level 2 and 6 Play - 70 percent CPU stress  |  <span id="Failed"> Failed run. Did not receive a "Ready for Oplan" event. Unhandled case in script so it waited until manual interruption at 891minutes.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  0  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  28  |  JTG-Baseline-FA-Execution-A-1of3 <span class="Folder">JTG-Baseline-FA-Execution-A-1of3_02-12-01_11</span>   |  Execution baseline  |  <span id="Failed"> Failed run. Inadvertent launch of script while interrupting previous run.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  0  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  29  |  JTG-Logistics-FA-UC1-B-2-1of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-1of6_02-12-01_11</span>   |  Level 2 and 6 Play - 0 percent CPU stress  |  <span id="Failed"> Failed run. A disk full error on the Postgres database machine caused Postgres to die, which caused script to hang, which caused all runs to hang. Run actually finished successfully and died at the very end during logging phase.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  264  |  122  |  114  |  2002-12-01_11:43:44  |  24:30  |  29:46  |  57:46  |  2002-12-01_17:43:29  |  
  |  30  |  JTG-Logistics-FA-UC1-B-1-1of1 <span class="Folder">JTG-Logistics-FA-UC1-B-1-1of1_02-12-02_11</span>   |  Level 2 and 6 Play - 70 percent CPU stress  |  <span id="Successful"> <bold>Successful Logisitics B-1 run 6</bold> <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  40.72560  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.4382470119522  |  2388  |  &nbsp;  |  8743  |  stress  |  100  |  132  |  132  |  132  |  2002-12-02_11:55:27  |  38:36  |  43:9  |  &nbsp;  |  2002-12-02_18:02:44  |  
  |  31  |  JTG-Robustness-FA-UC1-A-1-1of1 <span class="Folder">JTG-Robustness-FA-UC1-A-1-1of1_02-12-02_16</span>   |  Kill before publish OPlan  |  <span id="Failed"> Conceded run. Agents killed immediately after receiving ready for Oplan. The society never received ready_for_GLS and met the planning baseline time, so it was stopped at 97 minutes.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  0  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  32  |  JTG-Logistics-FA-UC1-B-2-1of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-1of6_02-12-02_18</span>   |  Level 2 and 6 Play - 0 percent CPU stress  |  <span id="Ignored"> Ignored Run. Successful run as planning complete was received in 54 minutes. But all other runs in this batch failed as timeout was too low.</span>  |  &nbsp;  |  &nbsp;  |  100.00000  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.509994807892  |  2388  |  &nbsp;  |  8680  |  stress  |  100  |  132  |  132  |  132  |  2002-12-02_18:48:31  |  24:22  |  28:53  |  54:7  |  2002-12-03_00:44:03  |  
  |  33  |  JTG-Logistics-FA-UC1-B-2-2of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-2of6_02-12-02_20</span>   |  Level 2 and 6 Play - 20 percent CPU stress  |  <span id="Failed"> Failed Run. Timed out at 3*baseline - 66min</span>  |  &nbsp;  |  &nbsp;  |  96.49533  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.636803874092  |  2388  |  &nbsp;  |  8320  |  stress  |  100  |  132  |  132  |  132  |  2002-12-02_20:18:54  |  24:54  |  30:18  |  &nbsp;  |  2002-12-03_02:56:42  |  
  |  34  |  JTG-Logistics-FA-UC1-B-2-3of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-3of6_02-12-02_22</span>   |  Level 2 and 6 Play - 40 percent CPU stress  |  <span id="Failed"> Failed Run. Timed out at 3*baseline - 66min</span>  |  &nbsp;  |  &nbsp;  |  98.83178  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.7490149724192  |  2388  |  &nbsp;  |  8560  |  stress  |  100  |  132  |  132  |  132  |  2002-12-02_22:31:51  |  25:53  |  29:25  |  &nbsp;  |  2002-12-03_05:08:24  |  
  |  35  |  JTG-Logistics-FA-UC1-B-2-4of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-4of6_02-12-03_00</span>   |  Level 2 and 6 Play - 50 percent CPU stress  |  <span id="Failed"> Failed Run. Timed out at 3*baseline - 66min</span>  |  &nbsp;  |  &nbsp;  |  97.66355  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.6709197235513  |  2388  |  &nbsp;  |  8440  |  stress  |  100  |  132  |  132  |  132  |  2002-12-03_00:44:08  |  23:47  |  28:13  |  &nbsp;  |  2002-12-03_07:19:37  |  
  |  36  |  JTG-Logistics-FA-UC1-B-2-5of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-5of6_02-12-03_02</span>   |  Level 2 and 6 Play - 60 percent CPU stress  |  <span id="Failed"> Failed Run. Timed out at 3*baseline - 66min</span>  |  &nbsp;  |  &nbsp;  |  97.65382  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.5378659488918  |  2388  |  &nbsp;  |  8439  |  stress  |  100  |  132  |  132  |  132  |  2002-12-03_02:55:46  |  25:19  |  30:31  |  &nbsp;  |  2002-12-03_09:34:13  |  
  |  37  |  JTG-Logistics-FA-UC1-B-2-6of6 <span class="Folder">JTG-Logistics-FA-UC1-B-2-6of6_02-12-03_05</span>   |  Level 2 and 6 Play - 70 percent CPU stress  |  <span id="Failed"> Failed Run. Timed out at 3*baseline - 66min</span>  |  &nbsp;  |  &nbsp;  |  86.24416  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.1374873010498  |  2388  |  &nbsp;  |  8986  |  stress  |  100  |  132  |  132  |  132  |  2002-12-03_05:10:30  |  24:18  |  29:10  |  &nbsp;  |  2002-12-03_11:48:32  |  
  |  38  |  JTG-Baseline-FA-Execution-A-1of1 <span class="Folder">JTG-Baseline-FA-Execution-A-1of1_02-12-03_07</span>   |  Execution baseline  |  <span id="Baseline"> <bold>Successful Execution Baseline Number 4</bold></span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  base  |  100  |  132  |  132  |  132  |  2002-12-03_07:26:45  |  24:40  |  29:40  |  115:28  |  2002-12-03_14:25:30  |  
  |  39  |  JTG-Baseline-FA-Planning-A-1of1 <span class="Folder">JTG-Baseline-FA-Planning-A-1of1_02-12-03_10</span>   |  Planning baseline  |  <span id="Failed"> Failed baseline run. Completed successfully but it has phased allocations.</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  Phased_Base  |  100  |  132  |  132  |  132  |  2002-12-03_10:09:25  |  23:51  |  28:27  |  71:55  |  2002-12-03_16:22:32  |  
  |  1  |  JTG-Baseline-FA-Planning-A-1of3 <span class="Folder">JTG-Baseline-FA-Planning-A-1of3_02-11-27_17</span>   |  Planning baseline  |  <span id="Baseline"> <bold>Successful Planning Baseline Number 1</bold></span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  base  |  100  |  132  |  132  |  132  |  2002-11-27_17:13:50  |  21:58  |  26:28  |  45:26  |  2002-11-27_23:00:00  |  
  |  2  |  JTG-Baseline-FA-Planning-A-2of3 <span class="Folder">JTG-Baseline-FA-Planning-A-2of3_02-11-27_18</span>   |  Planning baseline  |  <span id="Failed"> Successful run but it has phased allocations</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  base  |  100  |  132  |  132  |  132  |  2002-11-27_18:23:08  |  21:43  |  26:18  |  47:10  |  2002-11-28_00:10:59  |  
  |  3  |  JTG-Baseline-FA-Planning-A-3of3 <span class="Folder">JTG-Baseline-FA-Planning-A-3of3_02-11-27_19</span>   |  Planning baseline  |  <span id="Baseline"> <bold>Successful Planning Baseline Number 2</bold> </span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  base  |  100  |  132  |  132  |  132  |  2002-11-27_19:34:06  |  22:10  |  25:43  |  41:50  |  2002-11-28_01:16:36  |  
  |  4  |  JTG-Robustness-FA-UC1-A-4-1of1 <span class="Folder">JTG-Robustness-FA-UC1-A-4-1of1_02-12-03_13</span>   |  Kill 7 mins after GLS  |  <span id="Failed"> Failed run. Recovery of agents timed out at 3*baseline (66min). <em>Run id is duplicate as we dropped the database.</em></span>  |  &nbsp;  |  &nbsp;  |  53.13149  |  &nbsp;  |  &nbsp;  |  100.00000  |  98.528064496427  |  2368  |  &nbsp;  |  11340  |  stress  |  55  |  132  |  130  |  130  |  2002-12-03_13:30:02  |  24:27  |  28:32  |  &nbsp;  |  2002-12-03_20:06:57  |  
  |  5  |  JTG-Robustness-FA-UC1-B-4-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-4-1of1_02-12-03_16</span>   |  Kill 7 mins after GLS  |  <span id="Failed"> Failed run. Recovery of agents timed out at 3*baseline (66min). <em>Run id is duplicate as we dropped the database.</em></span>  |  &nbsp;  |  &nbsp;  |  53.67991  |  &nbsp;  |  &nbsp;  |  99.80655  |  97.2252448313384  |  2388  |  &nbsp;  |  10687  |  stress  |  55  |  132  |  132  |  132  |  2002-12-03_16:03:48  |  21:13  |  25:43  |  &nbsp;  |  2002-12-03_22:38:33  |  
  |  6  |  JTG-Robustness-FA-UC1-B-4_MinusFWD-G-1of1 <span class="Folder">JTG-Robustness-FA-UC1-B-4_MinusFWD-G-1of1_02-12-03_19</span>   |  Kill 7 mins after GLS  |  <span id="Failed"> Failed run. Tried a simpler set of agents (minus FWD-G node) but recovery of agents timed out at 3*baseline (66min). <em>Run id is duplicate as we dropped the database.</em></span>  |  &nbsp;  |  &nbsp;  |  64.79751  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.3589743589744  |  2388  |  &nbsp;  |  12916  |  stress  |  100  |  132  |  132  |  132  |  2002-12-03_19:03:24  |  21:34  |  25:29  |  &nbsp;  |  2002-12-04_01:40:08  |  
